timestamp,energy_kwh,hour,dayofweek,month,lag_1h,lag_24h,rolling_3h,rolling_24h
2024-01-02 00:00:00,4.39,0,1,1,3.44,4.6,3.6133333333333333,4.461250000000001
2024-01-02 01:00:00,5.3,1,1,1,4.39,5.25,4.376666666666666,4.463333333333334
2024-01-02 02:00:00,5.77,2,1,1,5.3,6.13,5.153333333333333,4.448333333333333
2024-01-02 03:00:00,6.7,3,1,1,5.77,6.93,5.923333333333333,4.43875
2024-01-02 04:00:00,6.98,4,1,1,6.7,7.05,6.483333333333333,4.435833333333334
2024-01-02 05:00:00,7.34,5,1,1,6.98,7.35,7.006666666666667,4.435416666666666
2024-01-02 06:00:00,7.38,6,1,1,7.34,7.82,7.233333333333333,4.417083333333333
2024-01-02 07:00:00,7.77,7,1,1,7.38,7.55,7.496666666666666,4.4262500000000005
2024-01-02 08:00:00,7.09,8,1,1,7.77,7.0,7.413333333333333,4.430000000000001
2024-01-02 09:00:00,6.41,9,1,1,7.09,6.73,7.09,4.416666666666667
2024-01-02 10:00:00,6.16,10,1,1,6.41,5.91,6.553333333333334,4.427083333333333
2024-01-02 11:00:00,5.03,11,1,1,6.16,5.18,5.866666666666667,4.420833333333333
2024-01-02 12:00:00,4.54,12,1,1,5.03,4.55,5.243333333333333,4.420416666666667
2024-01-02 13:00:00,3.33,13,1,1,4.54,3.34,4.300000000000001,4.42
2024-01-02 14:00:00,2.73,14,1,1,3.33,2.65,3.533333333333333,4.423333333333334
2024-01-02 15:00:00,2.42,15,1,1,2.73,2.27,2.8266666666666667,4.429583333333333
2024-01-02 16:00:00,2.05,16,1,1,2.42,1.7,2.4,4.444166666666667
2024-01-02 17:00:00,1.64,17,1,1,2.05,1.66,2.0366666666666666,4.443333333333333
2024-01-02 18:00:00,1.48,18,1,1,1.64,1.32,1.7233333333333334,4.45
2024-01-02 19:00:00,1.54,19,1,1,1.48,1.32,1.5533333333333335,4.4591666666666665
2024-01-02 20:00:00,1.61,20,1,1,1.54,2.19,1.5433333333333337,4.435
2024-01-02 21:00:00,2.23,21,1,1,1.61,2.33,1.7933333333333332,4.430833333333333
2024-01-02 22:00:00,2.91,22,1,1,2.23,3.01,2.25,4.426666666666667
2024-01-02 23:00:00,3.93,23,1,1,2.91,3.44,3.0233333333333334,4.447083333333333
2024-01-03 00:00:00,4.57,0,2,1,3.93,4.39,3.8033333333333332,4.454583333333333
2024-01-03 01:00:00,4.92,1,2,1,4.57,5.3,4.473333333333334,4.43875
2024-01-03 02:00:00,6.06,2,2,1,4.92,5.77,5.183333333333334,4.450833333333334
2024-01-03 03:00:00,6.54,3,2,1,6.06,6.7,5.84,4.444166666666667
2024-01-03 04:00:00,6.96,4,2,1,6.54,6.98,6.52,4.443333333333333
2024-01-03 05:00:00,7.52,5,2,1,6.96,7.34,7.006666666666667,4.450833333333334
2024-01-03 06:00:00,7.7,6,2,1,7.52,7.38,7.3933333333333335,4.464166666666666
2024-01-03 07:00:00,7.58,7,2,1,7.7,7.77,7.599999999999999,4.45625
2024-01-03 08:00:00,6.93,8,2,1,7.58,7.09,7.403333333333333,4.449583333333333
2024-01-03 09:00:00,6.56,9,2,1,6.93,6.41,7.023333333333333,4.4558333333333335
2024-01-03 10:00:00,6.06,10,2,1,6.56,6.16,6.516666666666666,4.451666666666667
2024-01-03 11:00:00,5.47,11,2,1,6.06,5.03,6.03,4.47
2024-01-03 12:00:00,4.4,12,2,1,5.47,4.54,5.31,4.464166666666666
2024-01-03 13:00:00,3.68,13,2,1,4.4,3.33,4.516666666666667,4.47875
2024-01-03 14:00:00,2.78,14,2,1,3.68,2.73,3.6200000000000006,4.480833333333333
2024-01-03 15:00:00,2.14,15,2,1,2.78,2.42,2.8666666666666667,4.469166666666666
2024-01-03 16:00:00,2.06,16,2,1,2.14,2.05,2.3266666666666667,4.4695833333333335
2024-01-03 17:00:00,1.87,17,2,1,2.06,1.64,2.0233333333333334,4.479166666666667
2024-01-03 18:00:00,1.48,18,2,1,1.87,1.48,1.8033333333333335,4.479166666666667
2024-01-03 19:00:00,1.8,19,2,1,1.48,1.54,1.7166666666666668,4.49
2024-01-03 20:00:00,1.97,20,2,1,1.8,1.61,1.75,4.505
2024-01-03 21:00:00,2.25,21,2,1,1.97,2.23,2.0066666666666664,4.505833333333333
2024-01-03 22:00:00,3.07,22,2,1,2.25,2.91,2.43,4.5125
2024-01-03 23:00:00,4.03,23,2,1,3.07,3.93,3.116666666666667,4.516666666666667
2024-01-04 00:00:00,4.49,0,3,1,4.03,4.57,3.8633333333333333,4.513333333333333
2024-01-04 01:00:00,5.59,1,3,1,4.49,4.92,4.703333333333333,4.54125
2024-01-04 02:00:00,5.47,2,3,1,5.59,6.06,5.183333333333333,4.516666666666667
2024-01-04 03:00:00,6.78,3,3,1,5.47,6.54,5.946666666666666,4.526666666666666
2024-01-04 04:00:00,7.11,4,3,1,6.78,6.96,6.453333333333333,4.532916666666666
2024-01-04 05:00:00,7.33,5,3,1,7.11,7.52,7.073333333333333,4.5249999999999995
2024-01-04 06:00:00,7.51,6,3,1,7.33,7.7,7.316666666666666,4.517083333333333
2024-01-04 07:00:00,6.99,7,3,1,7.51,7.58,7.276666666666666,4.4925
2024-01-04 08:00:00,7.05,8,3,1,6.99,6.93,7.183333333333334,4.4975
2024-01-04 09:00:00,6.69,9,3,1,7.05,6.56,6.91,4.502916666666667
